,Unnamed: 0,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
0,0,1/7/2022,2022-A62 ,G96,0.3,0.2,0.3605551275463989
1,1,1/7/2022,2022-A62 ,I52,0.1,0.0,0.1
3,3,1/7/2022,2022-A62 ,G96,0.2,0.4,0.447213595499958
4,4,1/7/2022,2022-A62 ,I52,0.1,0.0,0.1
6,6,1/7/2022,2022-A62 ,G96,0.4,0.1,0.4123105625617661
7,7,1/7/2022,2022-A62 ,I52,0.0,0.1,0.1
8,8,1/7/2022,2022-A62 ,654,0.4,0.1,0.4123105625617661
9,9,1/7/2022,2022-A62 ,G96,0.1,0.6,0.6082762530298219
11,11,1/7/2022,2022-A62 ,I52,0.3,0.8,0.8544003745317532
12,12,1/7/2022,2022-A62 ,I52,0.1,0.2,0.223606797749979
14,14,1/7/2022,2022-A62 ,I52,0.3,0.1,0.3162277660168379
15,15,1/7/2022,2022-A62 ,I52,0.2,0.0,0.2
17,17,1/7/2022,2022-A62 ,I52,0.3,0.3,0.4242640687119285
18,18,1/7/2022,2022-A62 ,I52,0.0,0.1,0.1
20,20,1/7/2022,2022-A62 ,I52,0.6,0.1,0.6082762530298219
21,21,1/7/2022,2022-A62 ,I52,0.3,0.1,0.3162277660168379
23,23,1/7/2022,2022-A62 ,654,0.3,0.2,0.3605551275463989
24,24,1/7/2022,2022-A62 ,I52,0.3,0.4,0.5
26,26,1/7/2022,2022-A62 ,654,0.1,0.1,0.1414213562373095
27,27,1/13/2022,2022-A171,F52,0.1,0.0,0.1
28,28,1/13/2022,2022-A171,H21,0.3,0.0,0.3
29,29,1/13/2022,2022-A171,568,0.0,0.0,0.0
30,30,1/13/2022,2022-A171,F52,0.1,0.0,0.1
31,31,1/13/2022,2022-A171,H21,0.0,0.4,0.4
32,32,1/13/2022,2022-A171,I93,0.1,0.2,0.223606797749979
33,33,1/13/2022,2022-A171,F52,0.1,0.1,0.1414213562373095
34,34,1/13/2022,2022-A171,H21,0.1,0.3,0.3162277660168379
35,35,1/13/2022,2022-A171,I93,0.7,1.0,1.2206555615733703
36,36,1/13/2022,2022-A171,F52,0.1,0.2,0.223606797749979
37,37,1/13/2022,2022-A171,654,0.2,0.1,0.223606797749979
38,38,1/13/2022,2022-A171,L01,0.3,0.0,0.3
39,39,1/13/2022,2022-A171,F52,0.1,0.0,0.1
40,40,1/13/2022,2022-A171,654,0.1,0.2,0.223606797749979
41,41,1/13/2022,2022-A171,L01,0.5,0.1,0.5099019513592785
42,42,1/13/2022,2022-A171,807,0.1,0.0,0.1
43,43,1/13/2022,2022-A171,654,0.3,0.3,0.4242640687119285
45,45,1/13/2022,2022-A171,807,0.1,0.1,0.1414213562373095
46,46,1/13/2022,2022-A171,654,1.8,1.0,2.0591260281974
48,48,1/13/2022,2022-A171,807,0.0,0.0,0.0
49,49,1/13/2022,2022-A171,568,0.0,0.0,0.0
51,51,1/13/2022,2022-A173,G96,0.2,0.0,0.2
52,52,1/13/2022,2022-A173,G96,0.3,0.1,0.3162277660168379
53,53,1/13/2022,2022-A173,654,0.2,0.1,0.223606797749979
54,54,1/13/2022,2022-A173,G96,0.2,0.2,0.282842712474619
55,55,1/13/2022,2022-A173,G96,0.2,0.3,0.3605551275463989
57,57,1/13/2022,2022-A173,G96,0.3,0.6,0.6708203932499369
58,58,1/13/2022,2022-A173,G96,0.1,0.2,0.223606797749979
60,60,1/13/2022,2022-A173,G96,0.1,0.1,0.1414213562373095
61,61,1/13/2022,2022-A173,G96,0.3,0.3,0.4242640687119285
63,63,1/13/2022,2022-A173,I52,0.4,0.0,0.4
64,64,1/13/2022,2022-A173,654,0.0,0.1,0.1
66,66,1/13/2022,2022-A173,I52,0.1,0.1,0.1414213562373095
67,67,1/13/2022,2022-A173,654,0.1,0.1,0.1414213562373095
69,69,1/13/2022,2022-A173,I52,0.0,0.2,0.2
70,70,1/13/2022,2022-A173,654,0.0,0.1,0.1
71,71,1/21/2022,2022-B09 ,T08,0.3,0.7,0.7615773105863908
74,74,1/21/2022,2022-B09 ,T08,0.7,1.3,1.47648230602334
76,76,1/21/2022,2022-B09 ,104,0.1,0.1,0.1414213562373095
77,77,1/21/2022,2022-B09 ,T08,0.5,0.4,0.6403124237432849
79,79,1/21/2022,2022-B09 ,104,0.1,0.3,0.3162277660168379
80,80,1/21/2022,2022-B09 ,T08,0.2,0.5,0.5385164807134505
82,82,1/21/2022,2022-B09 ,104,0.4,0.3,0.5
85,85,1/21/2022,2022-B09 ,958,1.1,2.0,2.282542442102665
87,87,1/21/2022,2022-B09 ,654,0.1,0.0,0.1
88,88,1/21/2022,2022-B09 ,958,1.0,1.3,1.640121946685673
89,89,1/21/2022,2022-B09 ,J95,0.0,0.1,0.1
90,90,1/21/2022,2022-B09 ,654,0.0,0.0,0.0
