,Unnamed: 0,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
6515,6515,1/7/2022,2022-A62 ,654,0.4,0.1,0.085
6530,6530,1/7/2022,2022-A62 ,654,0.3,0.2,0.065
6533,6533,1/7/2022,2022-A62 ,654,0.1,0.1,0.01
6544,6544,1/13/2022,2022-A171,654,0.2,0.1,0.025
6547,6547,1/13/2022,2022-A171,654,0.1,0.2,0.025
6550,6550,1/13/2022,2022-A171,654,0.3,0.3,0.09
6553,6553,1/13/2022,2022-A171,654,1.8,1.0,2.12
6560,6560,1/13/2022,2022-A173,654,0.2,0.1,0.025
6571,6571,1/13/2022,2022-A173,654,0.0,0.1,0.005
6574,6574,1/13/2022,2022-A173,654,0.1,0.1,0.01
6577,6577,1/13/2022,2022-A173,654,0.0,0.1,0.005
6594,6594,1/21/2022,2022-B09 ,654,0.1,0.0,0.005
6597,6597,1/21/2022,2022-B09 ,654,0.0,0.0,0.0
6600,6600,1/21/2022,2022-B09 ,654,0.1,0.0,0.005
6674,6674,1/25/2022,2022-B34 ,654,0.1,0.0,0.005
6686,6686,1/25/2022,2022-B34 ,654,0.0,0.0,0.0
6689,6689,1/25/2022,2022-B34 ,654,0.1,0.0,0.005
6726,6726,1/25/2022,2022-B35 ,654,0.1,0.0,0.005
6729,6729,1/25/2022,2022-B35 ,654,0.1,0.3,0.05
6732,6732,1/25/2022,2022-B35 ,654,0.1,0.2,0.025
6797,6797,1/26/2022,2022-B39 ,654,0.1,0.2,0.025
6800,6800,1/26/2022,2022-B39 ,654,0.0,0.0,0.0
6803,6803,1/26/2022,2022-B39 ,654,0.3,0.2,0.065
6806,6806,1/26/2022,2022-B39 ,654,0.1,0.3,0.05
6823,6823,1/26/2022,2022-B52 ,654,0.1,0.1,0.01
6826,6826,1/26/2022,2022-B52 ,654,0.1,0.0,0.005
6829,6829,1/26/2022,2022-B52 ,654,0.0,0.1,0.005
6837,6837,1/27/2022,2022-B56 ,654,0.1,0.0,0.005
6840,6840,1/27/2022,2022-B56 ,654,0.1,0.1,0.01
6843,6843,1/27/2022,2022-B56 ,654,0.2,0.1,0.025
6872,6872,1/27/2022,2022-B71 ,654,0.2,0.1,0.025
6875,6875,1/27/2022,2022-B71 ,654,0.0,0.1,0.005
6878,6878,1/27/2022,2022-B71 ,654,0.1,0.0,0.005
6884,6884,1/29/2022,2022-B120,654,0.1,0.1,0.01
6904,6904,1/29/2022,2022-B120,654,0.1,0.2,0.025
6907,6907,1/29/2022,2022-B120,654,0.0,0.1,0.005
6934,6934,2/2/2022,2022-C20 ,654,0.1,0.1,0.01
6937,6937,2/2/2022,2022-C20 ,654,0.2,0.0,0.02
6940,6940,2/2/2022,2022-C20 ,654,0.1,0.1,0.01
6943,6943,2/2/2022,2022-C27 ,654,0.2,0.1,0.025
6946,6946,2/2/2022,2022-C27 ,654,0.1,0.1,0.01
6949,6949,2/2/2022,2022-C27 ,654,0.0,0.1,0.005
6961,6961,2/2/2022,2022-C29 ,654,0.0,0.1,0.005
6964,6964,2/2/2022,2022-C29 ,654,0.2,0.1,0.025
6980,6980,2/2/2022,2022-C29 ,654,0.2,0.1,0.025
7001,7001,2/4/2022,2022-C61 ,654,0.0,0.0,0.0
7013,7013,2/4/2022,2022-C61 ,654,0.0,0.0,0.0
7019,7019,2/4/2022,2022-C61 ,654,0.0,0.1,0.005
7028,7028,2/4/2022,2022-C62 ,654,0.0,0.1,0.005
7031,7031,2/4/2022,2022-C62 ,654,0.0,0.1,0.005
7034,7034,2/4/2022,2022-C62 ,654,0.0,0.1,0.005
7071,7071,2/4/2022,2022-C63 ,654,0.1,0.1,0.01
7074,7074,2/4/2022,2022-C63 ,654,0.0,0.1,0.005
7077,7077,2/4/2022,2022-C63 ,654,0.0,0.2,0.02
7093,7093,2/4/2022,2022-C65 ,654,0.1,0.0,0.005
7094,7094,2/4/2022,2022-C65 ,654,0.1,0.1,0.01
7096,7096,2/4/2022,2022-C65 ,654,0.0,0.1,0.005
7104,7104,2/4/2022,2022-C66 ,654,0.1,0.1,0.01
7108,7108,2/4/2022,2022-C66 ,654,0.0,0.1,0.005
7111,7111,2/4/2022,2022-C66 ,654,0.1,0.1,0.01
7125,7125,2/5/2022,2022-C77 ,654,0.1,0.1,0.01
7134,7134,2/5/2022,2022-C77 ,654,0.1,0.0,0.005
7137,7137,2/5/2022,2022-C77 ,654,0.1,0.0,0.005
7144,7144,2/5/2022,2022-C83 ,654,0.1,0.1,0.01
7147,7147,2/5/2022,2022-C83 ,654,0.1,0.1,0.01
7150,7150,2/5/2022,2022-C83 ,654,0.1,0.0,0.005
7178,7178,2/5/2022,2022-C87 ,654,0.2,0.1,0.025
7180,7180,2/5/2022,2022-C87 ,654,0.2,0.0,0.02
7181,7181,2/5/2022,2022-C87 ,654,0.1,0.0,0.005
7232,7232,2/6/2022,2022-C97 ,654,0.1,0.0,0.005
7235,7235,2/6/2022,2022-C97 ,654,0.1,0.0,0.005
7238,7238,2/6/2022,2022-C97 ,654,0.0,0.1,0.005
7255,7255,2/6/2022,2022-C107,654,0.1,0.1,0.01
7258,7258,2/6/2022,2022-C107,654,0.0,0.0,0.0
7261,7261,2/6/2022,2022-C107,654,0.1,0.2,0.025
7287,7287,2/6/2022,2022-C118,654,0.0,0.2,0.02
7290,7290,2/6/2022,2022-C118,654,0.0,0.1,0.005
7305,7305,2/6/2022,2022-C118,654,0.0,0.2,0.02
7316,7316,2/7/2022,2022-C126,654,0.0,0.1,0.005
7321,7321,2/7/2022,2022-C126,654,0.2,0.2,0.04
7324,7324,2/7/2022,2022-C126,654,0.1,0.1,0.01
7342,7342,2/9/2022,2022-C173,654,0.0,0.1,0.005
7348,7348,2/9/2022,2022-C173,654,0.0,0.0,0.0
7360,7360,2/9/2022,2022-C173,654,0.0,0.0,0.0
7371,7371,2/9/2022,2022-C178,654,0.0,0.3,0.045
7374,7374,2/9/2022,2022-C178,654,0.1,0.2,0.025
7377,7377,2/9/2022,2022-C178,654,0.1,0.2,0.025
7384,7384,2/9/2022,2022-C187,654,0.1,0.0,0.005
7387,7387,2/9/2022,2022-C187,654,0.1,0.2,0.025
7390,7390,2/9/2022,2022-C187,654,0.1,0.1,0.01
7427,7427,2/10/2022,2022-C192,654,0.1,0.0,0.005
7430,7430,2/10/2022,2022-C192,654,0.0,0.0,0.0
7433,7433,2/10/2022,2022-C192,654,0.5,0.1,0.13
7436,7436,2/10/2022,2022-C196,654,0.1,0.3,0.05
7439,7439,2/10/2022,2022-C196,654,0.3,0.1,0.05
7442,7442,2/10/2022,2022-C196,654,0.1,0.2,0.025
7456,7456,2/11/2022,2022-C207,654,0.0,0.2,0.02
7459,7459,2/11/2022,2022-C207,654,0.0,0.2,0.02
7462,7462,2/11/2022,2022-C207,654,0.0,0.2,0.02
7500,7500,2/12/2022,2022-C215,654,0.1,0.2,0.025
7503,7503,2/12/2022,2022-C215,654,0.0,0.2,0.02
