,Unnamed: 0,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
6507,6507,1/7/2022,2022-A62 ,G96,0.3,0.2,0.065
6508,6508,1/7/2022,2022-A62 ,I52,0.1,0.0,0.005
6510,6510,1/7/2022,2022-A62 ,G96,0.2,0.4,0.1
6511,6511,1/7/2022,2022-A62 ,I52,0.1,0.0,0.005
6513,6513,1/7/2022,2022-A62 ,G96,0.4,0.1,0.085
6514,6514,1/7/2022,2022-A62 ,I52,0.0,0.1,0.005
6515,6515,1/7/2022,2022-A62 ,654,0.4,0.1,0.085
6516,6516,1/7/2022,2022-A62 ,G96,0.1,0.6,0.185
6518,6518,1/7/2022,2022-A62 ,I52,0.3,0.8,0.365
6519,6519,1/7/2022,2022-A62 ,I52,0.1,0.2,0.025
6521,6521,1/7/2022,2022-A62 ,I52,0.3,0.1,0.05
6522,6522,1/7/2022,2022-A62 ,I52,0.2,0.0,0.02
6524,6524,1/7/2022,2022-A62 ,I52,0.3,0.3,0.09
6525,6525,1/7/2022,2022-A62 ,I52,0.0,0.1,0.005
6527,6527,1/7/2022,2022-A62 ,I52,0.6,0.1,0.185
6528,6528,1/7/2022,2022-A62 ,I52,0.3,0.1,0.05
6530,6530,1/7/2022,2022-A62 ,654,0.3,0.2,0.065
6531,6531,1/7/2022,2022-A62 ,I52,0.3,0.4,0.125
6533,6533,1/7/2022,2022-A62 ,654,0.1,0.1,0.01
6534,6534,1/13/2022,2022-A171,F52,0.1,0.0,0.005
6535,6535,1/13/2022,2022-A171,H21,0.3,0.0,0.045
6536,6536,1/13/2022,2022-A171,568,0.0,0.0,0.0
6537,6537,1/13/2022,2022-A171,F52,0.1,0.0,0.005
6538,6538,1/13/2022,2022-A171,H21,0.0,0.4,0.08
6539,6539,1/13/2022,2022-A171,I93,0.1,0.2,0.025
6540,6540,1/13/2022,2022-A171,F52,0.1,0.1,0.01
6541,6541,1/13/2022,2022-A171,H21,0.1,0.3,0.05
6542,6542,1/13/2022,2022-A171,I93,0.7,1.0,0.745
6543,6543,1/13/2022,2022-A171,F52,0.1,0.2,0.025
6544,6544,1/13/2022,2022-A171,654,0.2,0.1,0.025
6545,6545,1/13/2022,2022-A171,L01,0.3,0.0,0.045
6546,6546,1/13/2022,2022-A171,F52,0.1,0.0,0.005
6547,6547,1/13/2022,2022-A171,654,0.1,0.2,0.025
6548,6548,1/13/2022,2022-A171,L01,0.5,0.1,0.13
6549,6549,1/13/2022,2022-A171,807,0.1,0.0,0.005
6550,6550,1/13/2022,2022-A171,654,0.3,0.3,0.09
6551,6551,1/13/2022,2022-A171,858,0.2,0.5,0.145
6552,6552,1/13/2022,2022-A171,807,0.1,0.1,0.01
6553,6553,1/13/2022,2022-A171,654,1.8,1.0,2.12
6554,6554,1/13/2022,2022-A171,858,0.3,0.6,0.2249999999999999
6555,6555,1/13/2022,2022-A171,807,0.0,0.0,0.0
6556,6556,1/13/2022,2022-A171,568,0.0,0.0,0.0
6557,6557,1/13/2022,2022-A171,858,0.1,0.3,0.05
6558,6558,1/13/2022,2022-A173,G96,0.2,0.0,0.02
6559,6559,1/13/2022,2022-A173,G96,0.3,0.1,0.05
6560,6560,1/13/2022,2022-A173,654,0.2,0.1,0.025
6561,6561,1/13/2022,2022-A173,G96,0.2,0.2,0.04
6562,6562,1/13/2022,2022-A173,G96,0.2,0.3,0.065
6564,6564,1/13/2022,2022-A173,G96,0.3,0.6,0.2249999999999999
6565,6565,1/13/2022,2022-A173,G96,0.1,0.2,0.025
6567,6567,1/13/2022,2022-A173,G96,0.1,0.1,0.01
6568,6568,1/13/2022,2022-A173,G96,0.3,0.3,0.09
6569,6569,1/13/2022,2022-A173,858,0.1,0.3,0.05
6570,6570,1/13/2022,2022-A173,I52,0.4,0.0,0.08
6571,6571,1/13/2022,2022-A173,654,0.0,0.1,0.005
6572,6572,1/13/2022,2022-A173,858,0.6,0.7,0.4249999999999999
6573,6573,1/13/2022,2022-A173,I52,0.1,0.1,0.01
6574,6574,1/13/2022,2022-A173,654,0.1,0.1,0.01
6575,6575,1/13/2022,2022-A173,858,0.9,0.1,0.41
6576,6576,1/13/2022,2022-A173,I52,0.0,0.2,0.02
6577,6577,1/13/2022,2022-A173,654,0.0,0.1,0.005
6583,6583,1/21/2022,2022-B09 ,104,0.1,0.1,0.01
6586,6586,1/21/2022,2022-B09 ,104,0.1,0.3,0.05
6589,6589,1/21/2022,2022-B09 ,104,0.4,0.3,0.125
6592,6592,1/21/2022,2022-B09 ,958,1.1,2.0,2.605
6594,6594,1/21/2022,2022-B09 ,654,0.1,0.0,0.005
6595,6595,1/21/2022,2022-B09 ,958,1.0,1.3,1.3450000000000002
6596,6596,1/21/2022,2022-B09 ,J95,0.0,0.1,0.005
6597,6597,1/21/2022,2022-B09 ,654,0.0,0.0,0.0
6598,6598,1/21/2022,2022-B09 ,958,0.4,0.6,0.26
6599,6599,1/21/2022,2022-B09 ,204,0.0,0.1,0.005
6600,6600,1/21/2022,2022-B09 ,654,0.1,0.0,0.005
6601,6601,1/21/2022,2022-B09 ,H36,0.0,0.6,0.18
