,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Num,Magnitude,Magnitude Obs Code,Obs Code Agreement,Diagonal Residual
0,1/7/2022,2022-A62 ,G96,0.3,0.2,1,20.9,G96,True,0.36055512754639896
1,1/7/2022,2022-A62 ,G96,0.2,0.4,2,20.4,G96,True,0.447213595499958
2,1/7/2022,2022-A62 ,G96,0.4,0.1,3,20.7,G96,True,0.4123105625617661
3,1/7/2022,2022-A62 ,G96,0.1,0.6,4,21.6,G96,True,0.6082762530298219
4,1/7/2022,2022-A62 ,I52,0.1,0.2,5,20.7,I52,True,0.223606797749979
5,1/7/2022,2022-A62 ,I52,0.2,0.0,6,20.8,I52,True,0.2
6,1/7/2022,2022-A62 ,I52,0.0,0.1,7,21.0,I52,True,0.1
7,1/7/2022,2022-A62 ,I52,0.3,0.1,8,20.6,I52,True,0.31622776601683794
8,1/7/2022,2022-A62 ,I52,0.3,0.4,9,21.6,I52,True,0.5
9,1/7/2022,2022-A62 ,I52,0.1,0.0,11,21.2,I52,True,0.1
10,1/7/2022,2022-A62 ,I52,0.1,0.0,12,21.2,I52,True,0.1
11,1/7/2022,2022-A62 ,I52,0.0,0.1,13,20.9,I52,True,0.1
12,1/7/2022,2022-A62 ,033,0.5,0.2,14,20.9,033,True,0.5385164807134505
13,1/7/2022,2022-A62 ,033,0.4,0.1,15,20.8,033,True,0.4123105625617661
14,1/7/2022,2022-A62 ,033,0.0,0.0,16,21.0,033,True,0.0
15,1/7/2022,2022-A62 ,033,0.1,0.0,17,21.2,033,True,0.1
16,1/7/2022,2022-A62 ,033,0.3,0.2,18,20.9,033,True,0.36055512754639896
17,1/7/2022,2022-A62 ,033,0.0,0.4,19,21.2,033,True,0.4
18,1/7/2022,2022-A62 ,L06,0.7,0.1,21,20.5,L06,True,0.7071067811865475
19,1/7/2022,2022-A62 ,L06,0.4,0.4,22,20.6,L06,True,0.5656854249492381
20,1/7/2022,2022-A62 ,654,0.4,0.1,23,21.8,654,True,0.4123105625617661
21,1/7/2022,2022-A62 ,I52,0.3,0.8,24,21.9,I52,True,0.8544003745317532
22,1/7/2022,2022-A62 ,I52,0.3,0.1,25,21.4,I52,True,0.31622776601683794
23,1/7/2022,2022-A62 ,I52,0.3,0.3,26,,I52,True,0.4242640687119285
24,1/7/2022,2022-A62 ,I52,0.6,0.1,27,21.7,I52,True,0.6082762530298219
25,1/7/2022,2022-A62 ,654,0.3,0.2,28,21.5,654,True,0.36055512754639896
26,1/7/2022,2022-A62 ,654,0.1,0.1,29,20.5,654,True,0.14142135623730953
27,1/13/2022,2022-A171,F52,0.1,0.0,1,21.63,F52,True,0.1
28,1/13/2022,2022-A171,F52,0.1,0.0,2,21.87,F52,True,0.1
29,1/13/2022,2022-A171,F52,0.1,0.1,3,22.02,F52,True,0.14142135623730953
30,1/13/2022,2022-A171,F52,0.1,0.2,4,21.29,F52,True,0.223606797749979
31,1/13/2022,2022-A171,F52,0.1,0.0,5,21.69,F52,True,0.1
32,1/13/2022,2022-A171,807,0.1,0.0,6,20.8,807,True,0.1
33,1/13/2022,2022-A171,807,0.1,0.1,7,21.2,807,True,0.14142135623730953
34,1/13/2022,2022-A171,807,0.0,0.0,8,21.2,807,True,0.0
35,1/13/2022,2022-A171,H21,0.3,0.0,10,20.8,H21,True,0.3
36,1/13/2022,2022-A171,H21,0.0,0.4,11,20.9,H21,True,0.4
37,1/13/2022,2022-A171,H21,0.1,0.3,12,21.4,H21,True,0.31622776601683794
