Date,Bulletin,Obs Code,Residual RA,Residual Dec,Num,Magnitude,Magnitude Obs Code,Obs Code Agreement
1/7/2022,2022-A62 ,G96,0.3,0.2,1,20.9,G96,True
1/7/2022,2022-A62 ,G96,0.2,0.4,2,20.4,G96,True
1/7/2022,2022-A62 ,G96,0.4,0.1,3,20.7,G96,True
1/7/2022,2022-A62 ,G96,0.1,0.6,4,21.6,G96,True
1/7/2022,2022-A62 ,I52,0.1,0.2,5,20.7,I52,True
1/7/2022,2022-A62 ,I52,0.2,0.0,6,20.8,I52,True
1/7/2022,2022-A62 ,I52,0.0,0.1,7,21.0,I52,True
1/7/2022,2022-A62 ,I52,0.3,0.1,8,20.6,I52,True
1/7/2022,2022-A62 ,I52,0.3,0.4,9,21.6,I52,True
1/7/2022,2022-A62 ,I52,0.1,0.0,11,21.2,I52,True
1/7/2022,2022-A62 ,I52,0.1,0.0,12,21.2,I52,True
1/7/2022,2022-A62 ,I52,0.0,0.1,13,20.9,I52,True
1/7/2022,2022-A62 ,033,0.5,0.2,14,20.9,033,True
1/7/2022,2022-A62 ,033,0.4,0.1,15,20.8,033,True
1/7/2022,2022-A62 ,033,0.0,0.0,16,21.0,033,True
1/7/2022,2022-A62 ,033,0.1,0.0,17,21.2,033,True
1/7/2022,2022-A62 ,033,0.3,0.2,18,20.9,033,True
1/7/2022,2022-A62 ,033,0.0,0.4,19,21.2,033,True
1/7/2022,2022-A62 ,L06,0.7,0.1,21,20.5,L06,True
1/7/2022,2022-A62 ,L06,0.4,0.4,22,20.6,L06,True
1/7/2022,2022-A62 ,654,0.4,0.1,23,21.8,654,True
1/7/2022,2022-A62 ,I52,0.3,0.8,24,21.9,I52,True
1/7/2022,2022-A62 ,I52,0.3,0.1,25,21.4,I52,True
1/7/2022,2022-A62 ,I52,0.3,0.3,26,,I52,True
1/7/2022,2022-A62 ,I52,0.6,0.1,27,21.7,I52,True
1/7/2022,2022-A62 ,654,0.3,0.2,28,21.5,654,True
1/7/2022,2022-A62 ,654,0.1,0.1,29,20.5,654,True
1/13/2022,2022-A171,F52,0.1,0.0,1,21.63,F52,True
