Date,Bulletin,Obs Code,Residual RA,Residual Dec,Num,Magnitude,Magnitude Obs Code,Obs Code Agreement
1/13/2022,2022-A173,G96,0.2,0.0,1,20.9,G96,True
1/13/2022,2022-A173,G96,0.2,0.2,2,20.4,G96,True
1/13/2022,2022-A173,G96,0.3,0.6,3,,G96,True
1/13/2022,2022-A173,G96,0.1,0.1,4,20.7,G96,True
1/13/2022,2022-A173,I52,0.4,0.0,5,,I52,True
1/13/2022,2022-A173,I52,0.1,0.1,6,,I52,True
1/13/2022,2022-A173,I52,0.0,0.2,7,21.0,I52,True
1/13/2022,2022-A173,G96,0.3,0.1,8,20.7,G96,True
1/13/2022,2022-A173,G96,0.2,0.3,9,20.8,G96,True
1/13/2022,2022-A173,G96,0.1,0.2,10,20.6,G96,True
1/13/2022,2022-A173,G96,0.3,0.3,11,20.7,G96,True
1/13/2022,2022-A173,654,0.0,0.1,12,20.6,654,True
1/13/2022,2022-A173,654,0.1,0.1,13,20.6,654,True
1/13/2022,2022-A173,654,0.0,0.1,14,21.1,654,True
1/13/2022,2022-A173,654,0.2,0.1,15,21.1,654,True
1/13/2022,2022-A173,L06,0.7,0.0,16,21.0,L06,True
1/13/2022,2022-A173,L06,0.7,0.6,17,20.8,L06,True
1/13/2022,2022-A173,858,0.1,0.3,18,21.0,858,True
1/13/2022,2022-A173,858,0.6,0.7,19,21.1,858,True
1/13/2022,2022-A173,858,0.9,0.1,20,21.2,858,True
1/21/2022,2022-B09 ,T08,0.3,0.7,1,18.3,T08,True
1/21/2022,2022-B09 ,T08,0.7,1.3,2,18.4,T08,True
1/21/2022,2022-B09 ,T08,0.5,0.4,3,18.6,T08,True
1/21/2022,2022-B09 ,T08,0.2,0.5,4,18.5,T08,True
1/21/2022,2022-B09 ,G02,0.0,0.1,5,18.7,G02,True
1/21/2022,2022-B09 ,G02,0.2,0.1,6,18.4,G02,True
1/21/2022,2022-B09 ,J95,0.0,0.1,7,18.7,J95,True
1/21/2022,2022-B09 ,204,0.0,0.1,8,,204,True
1/21/2022,2022-B09 ,J95,0.3,0.2,9,18.3,J95,True
1/21/2022,2022-B09 ,J95,0.0,0.1,10,18.8,J95,True
1/21/2022,2022-B09 ,204,0.0,0.1,11,,204,True
1/21/2022,2022-B09 ,J95,0.0,0.0,12,18.2,J95,True
1/21/2022,2022-B09 ,204,0.2,0.1,13,18.7,204,True
1/21/2022,2022-B09 ,J57,0.3,0.7,14,18.3,J57,True
1/21/2022,2022-B09 ,Z33,0.2,0.3,15,18.5,Z33,True
1/21/2022,2022-B09 ,J57,0.3,0.5,16,18.5,J57,True
1/21/2022,2022-B09 ,Z33,0.1,0.1,17,18.6,Z33,True
1/21/2022,2022-B09 ,G02,0.4,0.1,18,18.6,G02,True
1/21/2022,2022-B09 ,Z33,0.8,0.3,19,18.6,Z33,True
1/21/2022,2022-B09 ,J57,0.0,0.1,20,18.3,J57,True
1/21/2022,2022-B09 ,J69,0.7,0.4,21,18.5,J69,True
1/21/2022,2022-B09 ,J69,0.2,0.1,22,18.6,J69,True
1/21/2022,2022-B09 ,J69,0.1,0.1,23,18.5,J69,True
1/21/2022,2022-B09 ,L06,0.3,0.3,24,18.2,L06,True
1/21/2022,2022-B09 ,L06,0.2,0.3,25,18.0,L06,True
1/21/2022,2022-B09 ,L06,0.0,0.0,26,18.4,L06,True
1/21/2022,2022-B09 ,Z80,0.6,0.2,27,18.4,Z80,True
1/21/2022,2022-B09 ,Z80,0.5,0.1,28,,Z80,True
1/21/2022,2022-B09 ,654,0.1,0.0,29,19.0,654,True
1/21/2022,2022-B09 ,654,0.0,0.0,30,18.8,654,True
1/21/2022,2022-B09 ,654,0.1,0.0,31,18.8,654,True
1/21/2022,2022-B09 ,G14,0.7,0.9,32,18.5,G14,True
1/21/2022,2022-B09 ,Z99,0.2,0.1,33,18.6,Z99,True
1/21/2022,2022-B09 ,Z99,0.1,0.0,34,18.6,Z99,True
1/21/2022,2022-B09 ,G14,0.5,0.1,35,19.4,G14,True
1/21/2022,2022-B09 ,Z99,0.2,0.0,36,18.8,Z99,True
1/21/2022,2022-B09 ,G15,0.6,0.4,37,19.2,G15,True
1/21/2022,2022-B09 ,J95,0.2,0.1,38,19.0,J95,True
1/21/2022,2022-B09 ,G14,0.4,0.5,39,17.1,G14,True
1/21/2022,2022-B09 ,J95,0.0,0.1,40,18.8,J95,True
1/21/2022,2022-B09 ,J95,0.1,0.1,41,18.6,J95,True
1/21/2022,2022-B09 ,G15,0.9,0.7,42,,G15,True
1/21/2022,2022-B09 ,J95,0.1,0.1,43,18.8,J95,True
1/21/2022,2022-B09 ,G15,0.0,0.2,44,19.0,G15,True
1/21/2022,2022-B09 ,203,0.5,0.0,45,19.2,203,True
1/21/2022,2022-B09 ,203,0.4,0.0,46,18.6,203,True
1/21/2022,2022-B09 ,203,0.2,0.1,47,19.1,203,True
1/21/2022,2022-B09 ,104,0.1,0.1,48,18.4,104,True
1/21/2022,2022-B09 ,104,0.1,0.3,49,18.5,104,True
1/21/2022,2022-B09 ,104,0.4,0.3,50,18.2,104,True
1/21/2022,2022-B09 ,958,1.1,2.0,51,18.8,958,True
1/21/2022,2022-B09 ,958,1.0,1.3,52,18.9,958,True
1/21/2022,2022-B09 ,958,0.4,0.6,53,18.5,958,True
1/21/2022,2022-B09 ,H36,0.0,0.6,54,19.5,H36,True
1/21/2022,2022-B09 ,H36,0.3,0.3,55,19.1,H36,True
1/21/2022,2022-B09 ,H36,0.2,0.1,56,19.5,H36,True
1/21/2022,2022-B09 ,734,0.2,0.2,57,18.8,734,True
1/21/2022,2022-B09 ,734,0.7,0.7,58,19.0,734,True
1/21/2022,2022-B09 ,734,0.6,0.7,59,18.9,734,True
1/21/2022,2022-B09 ,734,0.1,0.5,60,19.0,734,True
1/21/2022,2022-B09 ,734,0.0,0.1,61,18.8,734,True
1/21/2022,2022-B09 ,734,0.3,0.1,62,19.0,734,True
1/21/2022,2022-B09 ,858,0.1,0.1,63,18.4,858,True
1/21/2022,2022-B09 ,858,0.0,0.2,64,18.6,858,True
1/21/2022,2022-B09 ,858,0.4,0.1,65,18.4,858,True
1/21/2022,2022-B09 ,G96,0.1,0.0,66,18.9,G96,True
