,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
0,9/24/2019,2019-S68 ,703,0.2,0.2,0.28284271247461906
1,9/24/2019,2019-S68 ,C43,0.3,0.1,0.31622776601683794
2,9/24/2019,2019-S68 ,734,0.3,0.1,0.31622776601683794
3,9/24/2019,2019-S68 ,703,0.1,0.2,0.223606797749979
4,9/24/2019,2019-S68 ,C43,0.5,0.0,0.5
5,9/24/2019,2019-S68 ,734,0.9,0.3,0.9486832980505138
6,9/24/2019,2019-S68 ,703,1.8,0.9,2.012461179749811
7,9/24/2019,2019-S68 ,I93,0.1,0.0,0.1
8,9/24/2019,2019-S68 ,734,0.8,0.4,0.894427190999916
9,9/24/2019,2019-S68 ,703,0.1,0.2,0.223606797749979
10,9/24/2019,2019-S68 ,I93,0.2,0.3,0.36055512754639896
11,9/24/2019,2019-S68 ,654,0.4,0.3,0.5
12,9/24/2019,2019-S68 ,I52,0.0,0.0,0.0
13,9/24/2019,2019-S68 ,958,1.5,0.7,1.6552945357246849
14,9/24/2019,2019-S68 ,654,0.3,0.4,0.5
15,9/24/2019,2019-S68 ,I52,0.2,0.3,0.36055512754639896
16,9/24/2019,2019-S68 ,I93,0.2,0.1,0.223606797749979
17,9/24/2019,2019-S68 ,585,0.5,0.2,0.5385164807134505
18,9/24/2019,2019-S68 ,I52,0.1,0.0,0.1
19,9/24/2019,2019-S68 ,958,1.1,0.5,1.2083045973594573
20,9/24/2019,2019-S68 ,585,0.3,0.1,0.31622776601683794
21,9/24/2019,2019-S68 ,I52,0.1,0.1,0.14142135623730953
22,9/24/2019,2019-S68 ,958,1.2,0.5,1.3
23,9/24/2019,2019-S68 ,585,0.5,0.2,0.5385164807134505
24,9/24/2019,2019-S68 ,L18,0.0,1.0,1.0
25,9/24/2019,2019-S68 ,Z84,0.9,0.2,0.9219544457292888
26,9/24/2019,2019-S68 ,587,0.6,0.4,0.7211102550927979
27,9/24/2019,2019-S68 ,L18,0.3,1.7,1.7262676501632068
28,9/24/2019,2019-S68 ,Z84,0.3,0.1,0.31622776601683794
29,9/24/2019,2019-S68 ,587,0.7,0.7,0.9899494936611665
30,9/24/2019,2019-S68 ,L18,0.2,1.0,1.019803902718557
31,9/24/2019,2019-S68 ,Z84,0.1,0.4,0.4123105625617661
32,9/24/2019,2019-S68 ,587,0.1,0.7,0.7071067811865475
33,9/24/2019,2019-S68 ,L18,0.0,0.6,0.6
34,9/24/2019,2019-S68 ,Z84,0.2,0.0,0.2
35,9/24/2019,2019-S68 ,K41,0.1,0.4,0.4123105625617661
36,9/24/2019,2019-S68 ,L04,0.5,0.0,0.5
37,9/24/2019,2019-S68 ,Z84,0.2,0.2,0.28284271247461906
38,9/24/2019,2019-S68 ,K41,0.3,0.1,0.31622776601683794
39,9/24/2019,2019-S68 ,L04,0.1,0.1,0.14142135623730953
40,9/24/2019,2019-S68 ,Z84,0.1,0.1,0.14142135623730953
41,9/24/2019,2019-S68 ,K41,0.8,1.5,1.7
42,9/24/2019,2019-S68 ,L04,0.1,0.2,0.223606797749979
43,9/24/2019,2019-S68 ,Z84,0.1,0.1,0.14142135623730953
44,9/24/2019,2019-S68 ,K41,0.7,0.3,0.7615773105863908
45,9/24/2019,2019-S68 ,J95,0.0,0.1,0.1
46,9/24/2019,2019-S68 ,850,0.5,0.5,0.7071067811865476
47,9/24/2019,2019-S68 ,K41,0.8,0.3,0.8544003745317532
48,9/24/2019,2019-S68 ,J95,0.1,0.0,0.1
49,9/24/2019,2019-S68 ,850,0.4,0.2,0.447213595499958
50,9/24/2019,2019-S68 ,K41,0.5,0.7,0.8602325267042626
51,9/24/2019,2019-S68 ,J95,0.2,0.1,0.223606797749979
52,9/24/2019,2019-S68 ,850,0.1,0.7,0.7071067811865475
53,9/24/2019,2019-S68 ,K41,0.3,0.3,0.4242640687119285
54,9/24/2019,2019-S68 ,J95,0.2,0.0,0.2
55,9/24/2019,2019-S68 ,850,0.4,0.5,0.6403124237432849
56,9/24/2019,2019-S68 ,K41,0.0,0.7,0.7
57,9/24/2019,2019-S68 ,G34,0.1,0.0,0.1
58,9/24/2019,2019-S68 ,850,0.5,0.6,0.7810249675906654
59,9/24/2019,2019-S68 ,K63,0.4,0.8,0.894427190999916
60,9/24/2019,2019-S68 ,G34,0.1,0.0,0.1
61,9/24/2019,2019-S68 ,850,0.5,0.1,0.5099019513592785
62,9/24/2019,2019-S68 ,K63,0.8,0.0,0.8
63,9/24/2019,2019-S68 ,G34,0.0,0.3,0.3
64,9/24/2019,2019-S68 ,850,0.5,0.3,0.58309518948453
65,9/24/2019,2019-S68 ,K63,0.3,1.0,1.044030650891055
66,9/24/2019,2019-S68 ,G34,0.0,0.2,0.2
67,9/24/2019,2019-S68 ,734,1.0,0.7,1.2206555615733703
68,9/24/2019,2019-S68 ,K63,0.0,0.6,0.6
69,9/24/2019,2019-S68 ,C43,1.4,2.1,2.5238858928247927
70,9/24/2019,2019-S68 ,734,0.7,0.3,0.7615773105863908
71,9/24/2019,2019-S68 ,C43,0.4,0.2,0.447213595499958
72,9/24/2019,2019-S68 ,734,0.5,0.3,0.58309518948453
73,9/25/2019,2019-S89 ,F51,0.1,0.2,0.223606797749979
74,9/25/2019,2019-S89 ,L01,0.2,0.3,0.36055512754639896
75,9/25/2019,2019-S89 ,654,0.0,0.0,0.0
76,9/25/2019,2019-S89 ,F51,0.1,0.2,0.223606797749979
77,9/25/2019,2019-S89 ,L01,0.1,0.1,0.14142135623730953
78,9/25/2019,2019-S89 ,654,0.0,0.2,0.2
79,9/25/2019,2019-S89 ,F51,0.0,0.0,0.0
80,9/25/2019,2019-S89 ,L01,0.0,0.1,0.1
81,9/25/2019,2019-S89 ,654,0.1,0.2,0.223606797749979
82,9/25/2019,2019-S89 ,L01,0.1,0.4,0.4123105625617661
83,9/25/2019,2019-S89 ,L01,0.1,0.1,0.14142135623730953
84,9/25/2019,2019-S89 ,654,0.2,0.0,0.2
85,9/30/2019,2019-S182,703,0.6,0.5,0.7810249675906654
86,9/30/2019,2019-S182,586,0.2,0.0,0.2
87,9/30/2019,2019-S182,850,0.2,0.1,0.223606797749979
88,9/30/2019,2019-S182,703,0.3,0.4,0.5
89,9/30/2019,2019-S182,586,0.1,0.1,0.14142135623730953
90,9/30/2019,2019-S182,850,0.1,0.2,0.223606797749979
91,9/30/2019,2019-S182,703,0.4,0.4,0.5656854249492381
92,9/30/2019,2019-S182,586,0.3,0.1,0.31622776601683794
93,9/30/2019,2019-S182,850,0.1,0.4,0.4123105625617661
94,9/30/2019,2019-S182,703,0.7,0.8,1.063014581273465
95,9/30/2019,2019-S182,586,0.1,0.0,0.1
96,9/30/2019,2019-S182,850,0.3,1.0,1.044030650891055
97,9/30/2019,2019-S182,703,0.2,0.2,0.28284271247461906
98,9/30/2019,2019-S182,586,0.1,0.0,0.1
99,9/30/2019,2019-S182,850,0.5,0.4,0.6403124237432849
100,9/30/2019,2019-S182,H01,0.0,0.2,0.2
101,9/30/2019,2019-S182,586,0.1,0.1,0.14142135623730953
102,9/30/2019,2019-S182,850,0.0,0.0,0.0
103,9/30/2019,2019-S182,703,1.1,0.5,1.2083045973594573
