,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
0,9/24/2019,2019-S68 ,703,0.2,0.2,0.04000000000000001
1,9/24/2019,2019-S68 ,C43,0.3,0.1,0.05
2,9/24/2019,2019-S68 ,734,0.3,0.1,0.05
3,9/24/2019,2019-S68 ,703,0.1,0.2,0.025000000000000005
4,9/24/2019,2019-S68 ,C43,0.5,0.0,0.125
5,9/24/2019,2019-S68 ,734,0.9,0.3,0.45
6,9/24/2019,2019-S68 ,703,1.8,0.9,2.0250000000000004
7,9/24/2019,2019-S68 ,I93,0.1,0.0,0.005000000000000001
8,9/24/2019,2019-S68 ,734,0.8,0.4,0.4000000000000001
9,9/24/2019,2019-S68 ,703,0.1,0.2,0.025000000000000005
10,9/24/2019,2019-S68 ,I93,0.2,0.3,0.065
11,9/24/2019,2019-S68 ,654,0.4,0.3,0.125
12,9/24/2019,2019-S68 ,I52,0.0,0.0,0.0
13,9/24/2019,2019-S68 ,958,1.5,0.7,1.3699999999999999
14,9/24/2019,2019-S68 ,654,0.3,0.4,0.125
15,9/24/2019,2019-S68 ,I52,0.2,0.3,0.065
16,9/24/2019,2019-S68 ,I93,0.2,0.1,0.025000000000000005
17,9/24/2019,2019-S68 ,585,0.5,0.2,0.14500000000000002
18,9/24/2019,2019-S68 ,I52,0.1,0.0,0.005000000000000001
19,9/24/2019,2019-S68 ,958,1.1,0.5,0.7300000000000001
20,9/24/2019,2019-S68 ,585,0.3,0.1,0.05
21,9/24/2019,2019-S68 ,I52,0.1,0.1,0.010000000000000002
22,9/24/2019,2019-S68 ,958,1.2,0.5,0.845
23,9/24/2019,2019-S68 ,585,0.5,0.2,0.14500000000000002
24,9/24/2019,2019-S68 ,L18,0.0,1.0,0.5
25,9/24/2019,2019-S68 ,Z84,0.9,0.2,0.42500000000000004
26,9/24/2019,2019-S68 ,587,0.6,0.4,0.26
27,9/24/2019,2019-S68 ,L18,0.3,1.7,1.4899999999999998
28,9/24/2019,2019-S68 ,Z84,0.3,0.1,0.05
29,9/24/2019,2019-S68 ,587,0.7,0.7,0.48999999999999994
