Date,Bulletin,Obs Code,Residual RA,Residual Dec
1/7/2022,2022-A62 ,G96,0.3,0.2
1/7/2022,2022-A62 ,I52,0.1,0.0
1/7/2022,2022-A62 ,L06,0.7,0.1
1/7/2022,2022-A62 ,G96,0.2,0.4
1/7/2022,2022-A62 ,I52,0.1,0.0
1/7/2022,2022-A62 ,L06,0.4,0.4
1/7/2022,2022-A62 ,G96,0.4,0.1
1/7/2022,2022-A62 ,I52,0.0,0.1
1/7/2022,2022-A62 ,654,0.4,0.1
1/7/2022,2022-A62 ,G96,0.1,0.6
1/7/2022,2022-A62 ,033,0.5,0.2
1/7/2022,2022-A62 ,I52,0.3,0.8
1/7/2022,2022-A62 ,I52,0.1,0.2
1/7/2022,2022-A62 ,033,0.4,0.1
1/7/2022,2022-A62 ,I52,0.3,0.1
1/7/2022,2022-A62 ,I52,0.2,0.0
1/7/2022,2022-A62 ,033,0.0,0.0
1/7/2022,2022-A62 ,I52,0.3,0.3
1/7/2022,2022-A62 ,I52,0.0,0.1
1/7/2022,2022-A62 ,033,0.1,0.0
1/7/2022,2022-A62 ,I52,0.6,0.1
1/7/2022,2022-A62 ,I52,0.3,0.1
1/7/2022,2022-A62 ,033,0.3,0.2
1/7/2022,2022-A62 ,654,0.3,0.2
1/7/2022,2022-A62 ,I52,0.3,0.4
1/7/2022,2022-A62 ,033,0.0,0.4
1/7/2022,2022-A62 ,654,0.1,0.1
1/13/2022,2022-A171,F52,0.1,0.0
1/13/2022,2022-A171,H21,0.3,0.0
1/13/2022,2022-A171,568,0.0,0.0
1/13/2022,2022-A171,F52,0.1,0.0
1/13/2022,2022-A171,H21,0.0,0.4
1/13/2022,2022-A171,I93,0.1,0.2
1/13/2022,2022-A171,F52,0.1,0.1
1/13/2022,2022-A171,H21,0.1,0.3
1/13/2022,2022-A171,I93,0.7,1.0
1/13/2022,2022-A171,F52,0.1,0.2
1/13/2022,2022-A171,654,0.2,0.1
1/13/2022,2022-A171,L01,0.3,0.0
1/13/2022,2022-A171,F52,0.1,0.0
1/13/2022,2022-A171,654,0.1,0.2
1/13/2022,2022-A171,L01,0.5,0.1
1/13/2022,2022-A171,807,0.1,0.0
1/13/2022,2022-A171,654,0.3,0.3
