bulletins2/18/A16.txt:                           Revision to MPEC 2011-L23
bulletins2/18/A27.txt:                           Revision to MPEC 2012-B54
bulletins2/18/A28.txt:                          Revision to MPEC 2016-A122
bulletins2/18/A61.txt:                           Revision to MPEC 2012-B09
bulletins2/18/A65.txt:                           Revision to MPEC 2013-V78
bulletins2/18/A66.txt:                          Revision to MPEC 2016-W103
bulletins2/18/A67.txt:                           Revision to MPEC 2014-L38
bulletins2/18/A68.txt:                          Revision to MPEC 2015-B129
bulletins2/18/A69.txt:                           Revision to MPEC 2015-R96
bulletins2/18/A80.txt:                           Revision to MPEC 1999-T17
bulletins2/18/B11.txt:                           Revision to MPEC 2003-U44
bulletins2/18/B15.txt:                           Revision to MPEC 2016-S33
bulletins2/18/B17.txt:                           Revision to MPEC 2016-C43
bulletins2/18/B52.txt:                           Revision to MPEC 2013-B60
bulletins2/18/B53.txt:                           Revision to MPEC 2014-E71
bulletins2/18/B54.txt:                           Revision to MPEC 2014-O30
bulletins2/18/B55.txt:                           Revision to MPEC 2017-B51
bulletins2/18/B77.txt:                           Revision to MPEC 2007-O17
bulletins2/18/B78.txt:                           Revision to MPEC 2015-T98
bulletins2/18/B79.txt:                           Revision to MPEC 2016-B49
bulletins2/18/B80.txt:                          Revision to MPEC 2016-C115
bulletins2/18/B91.txt:                          Revision to MPEC 2016-C166
bulletins2/18/B98.txt:                           Revision to MPEC 2003-O32
bulletins2/18/BB2.txt:                           Revision to MPEC 2008-O65
bulletins2/18/BB4.txt:                           Revision to MPEC 2018-B61
bulletins2/18/BE3.txt:                          Revision to MPEC 2017-X121
bulletins2/18/BF6.txt:                           Revision to MPEC 2005-G26
bulletins2/18/BF7.txt:                           Revision to MPEC 2014-R32
bulletins2/18/C03.txt:                           Revision to MPEC 2010-Y06
bulletins2/18/C04.txt:                           Revision to MPEC 2014-Y86
bulletins2/18/C15.txt:                           Revision to MPEC 2003-C25
bulletins2/18/C25.txt:                           Revision to MPEC 2018-C12
bulletins2/18/C28.txt:                           Revision to MPEC 2005-C51
bulletins2/18/C43.txt:                           Revision to MPEC 2013-Q38
bulletins2/18/C44.txt:                           Revision to MPEC 2018-C25
bulletins2/18/C47.txt:                           Revision to MPEC 2018-C44
bulletins2/18/C70.txt:                           Revision to MPEC 2007-M04
bulletins2/18/CA5.txt:                           Revision to MPEC 2017-D39
bulletins2/18/CA7.txt:                           Revision to MPEC 2017-A18
bulletins2/18/CA8.txt:                          Revision to MPEC 2017-B103
bulletins2/18/CB0.txt:                           Revision to MPEC 2017-Y34
bulletins2/18/CB1.txt:                           Revision to MPEC 1999-F27
bulletins2/18/D34.txt:                          Revision to MPEC 2016-C197
bulletins2/18/D35.txt:                          Revision to MPEC 2017-F122
bulletins2/18/D43.txt:                           Revision to MPEC 2017-D75
bulletins2/18/D52.txt:                          Revision to MPEC 2014-S117
bulletins2/18/D53.txt:                           Revision to MPEC 2015-R98
bulletins2/18/D54.txt:                           Revision to MPEC 2017-E66
bulletins2/18/D92.txt:                           Revision to MPEC 2013-G21
bulletins2/18/D93.txt:                           Revision to MPEC 2015-W02
bulletins2/18/E01.txt:                           Revision to MPEC 2018-D56
bulletins2/18/E05.txt:                           Revision to MPEC 2014-L05
bulletins2/18/E21.txt:                          Revision to MPEC 2015-X169
bulletins2/18/E22.txt:                          Revision to MPEC 2015-D109
bulletins2/18/E24.txt:                           Revision to MPEC 2013-J62
bulletins2/18/E27.txt:                           Revision to MPEC 2014-Q61
bulletins2/18/E28.txt:                           Revision to MPEC 2006-U24
bulletins2/18/E53.txt:                           Revision to MPEC 2018-E48
bulletins2/18/E61.txt:                           Revision to MPEC 2015-K03
bulletins2/18/E62.txt:                           Revision to MPEC 2016-P21
bulletins2/18/E63.txt:                           Revision to MPEC 2015-D46
bulletins2/18/E79.txt:                           Revision to MPEC 2012-W23
bulletins2/18/E81.txt:                           Revision to MPEC 2011-L58
bulletins2/18/EA3.txt:                          Revision to MPEC 2016-C180
bulletins2/18/EA4.txt:                          Revision to MPEC 2016-E102
bulletins2/18/EA5.txt:                           Revision to MPEC 2017-F65
bulletins2/18/EB1.txt:                           Revision to MPEC 2015-F56
bulletins2/18/F02.txt:                           Revision to MPEC 2011-U25
bulletins2/18/F03.txt:                           Revision to MPEC 2015-F12
bulletins2/18/F14.txt:                           Revision to MPEC 2005-O32
bulletins2/18/F15.txt:                           Revision to MPEC 2007-E39
bulletins2/18/F16.txt:                          Revision to MPEC 2015-F101
bulletins2/18/F22.txt:                           Revision to MPEC 2005-F28
bulletins2/18/F23.txt:                           Revision to MPEC 2017-D06
bulletins2/18/F24.txt:                           Revision to MPEC 2017-G63
bulletins2/18/F28.txt:                          Revision to MPEC 2009-S111
bulletins2/18/F29.txt:                           Revision to MPEC 2001-U14
bulletins2/18/F30.txt:                           Revision to MPEC 2011-F25
bulletins2/18/F46.txt:                           Revision to MPEC 2016-F08
bulletins2/18/F73.txt:                           Revision to MPEC 2013-K44
bulletins2/18/F74.txt:                           Revision to MPEC 2015-R61
bulletins2/18/FA8.txt:                           Revision to MPEC 2016-F72
bulletins2/18/FC0.txt:                           Revision to MPEC 2011-K16
bulletins2/18/FC1.txt:                          Revision to MPEC 2016-E124
bulletins2/18/FC8.txt:                           Revision to MPEC 2017-O68
bulletins2/18/FD0.txt:                           Revision to MPEC 2017-M88
bulletins2/18/FD1.txt:                           Revision to MPEC 2017-S44
bulletins2/18/FD2.txt:                           Revision to MPEC 2018-C51
bulletins2/18/FE5.txt:                           Revision to MPEC 2007-D74
bulletins2/18/FE6.txt:                           Revision to MPEC 2016-T77
bulletins2/18/FE7.txt:                           Revision to MPEC 2016-Y78
bulletins2/18/FE8.txt:                           Revision to MPEC 2017-P06
bulletins2/18/FF1.txt:                           Revision to MPEC 2005-J47
bulletins2/18/G30.txt:                           Revision to MPEC 2000-J21
bulletins2/18/G36.txt:                           Revision to MPEC 2016-Q12
bulletins2/18/G40.txt:                           Revision to MPEC 2015-O63
bulletins2/18/G49.txt:                           Revision to MPEC 2001-V48
bulletins2/18/G58.txt:                           Revision to MPEC 2014-S67
bulletins2/18/G75.txt:                           Revision to MPEC 2010-G99
bulletins2/18/G89.txt:                           Revision to MPEC 2014-W35
bulletins2/18/G90.txt:                           Revision to MPEC 2012-S76
bulletins2/18/GC3.txt:                          Revision to MPEC 2018-G102
bulletins2/18/GC4.txt:                           Revision to MPEC 2015-R17
bulletins2/18/GC5.txt:                          Revision to MPEC 2016-T137
bulletins2/18/H01.txt:                          Revision to MPEC 2015-K110
bulletins2/18/H03.txt:                           Revision to MPEC 2012-H63
bulletins2/18/H13.txt:                           Revision to MPEC 2008-O63
bulletins2/18/H14.txt:                           Revision to MPEC 2014-C55
bulletins2/18/H15.txt:                           Revision to MPEC 2015-T08
bulletins2/18/H16.txt:                          Revision to MPEC 2016-J109
bulletins2/18/H23.txt:                          Revision to MPEC 2015-F111
bulletins2/18/H24.txt:                           Revision to MPEC 2018-G77
bulletins2/18/H25.txt:                           Revision to MPEC 2015-D77
bulletins2/18/H26.txt:                           Revision to MPEC 2015-G59
bulletins2/18/H27.txt:                           Revision to MPEC 2015-T33
bulletins2/18/H28.txt:                          Revision to MPEC 2015-H137
bulletins2/18/H40.txt:                           Revision to MPEC 2017-D79
bulletins2/18/H64.txt:                           Revision to MPEC 2017-G80
bulletins2/18/H83.txt:                           Revision to MPEC 2001-S35
bulletins2/18/H94.txt:                          Revision to MPEC 2015-V122
bulletins2/18/H95.txt:                           Revision to MPEC 2017-S77
bulletins2/18/H99.txt:                           Revision to MPEC 2007-C58
bulletins2/18/HA0.txt:                           Revision to MPEC 2017-A69
bulletins2/18/HA4.txt:                          Revision to MPEC 2006-S107
bulletins2/18/J12.txt:                           Revision to MPEC 2016-J02
bulletins2/18/J16.txt:                           Revision to MPEC 2010-M48
bulletins2/18/J17.txt:                          Revision to MPEC 2015-B114
bulletins2/18/J27.txt:                           Revision to MPEC 2017-N41
bulletins2/18/J29.txt:                           Revision to MPEC 2001-H27
bulletins2/18/J35.txt:                           Revision to MPEC 2010-X07
bulletins2/18/J37.txt:                           Revision to MPEC 2015-M41
bulletins2/18/J53.txt:                           Revision to MPEC 2014-J83
bulletins2/18/J55.txt:                          Revision to MPEC 2015-R180
bulletins2/18/J56.txt:                          Revision to MPEC 2015-T134
bulletins2/18/J57.txt:                           Revision to MPEC 2017-L17
bulletins2/18/K09.txt:                           Revision to MPEC 2008-J19
bulletins2/18/K10.txt:                           Revision to MPEC 2011-J10
bulletins2/18/K11.txt:                           Revision to MPEC 2017-K19
bulletins2/18/K12.txt:                           Revision to MPEC 2009-Q48
bulletins2/18/K13.txt:                           Revision to MPEC 2010-O08
bulletins2/18/K15.txt:                           Revision to MPEC 2005-O31
bulletins2/18/K16.txt:                          Revision to MPEC 2015-K117
bulletins2/18/K17.txt:                          Revision to MPEC 2015-V101
bulletins2/18/K18.txt:                          Revision to MPEC 2015-H109
bulletins2/18/K19.txt:                           Revision to MPEC 2015-P18
bulletins2/18/K20.txt:                          Revision to MPEC 2017-S132
bulletins2/18/K22.txt:                           Revision to MPEC 2015-W59
bulletins2/18/K39.txt:                           Revision to MPEC 2015-K50
bulletins2/18/K61.txt:                           Revision to MPEC 2016-K09
bulletins2/18/K62.txt:                          Revision to MPEC 2017-Q122
bulletins2/18/K68.txt:                           Revision to MPEC 2018-K66
bulletins2/18/K69.txt:                           Revision to MPEC 2013-N29
bulletins2/18/K70.txt:                           Revision to MPEC 2017-E54
bulletins2/18/K75.txt:                           Revision to MPEC 2010-G94
bulletins2/18/K76.txt:                           Revision to MPEC 2014-N50
bulletins2/18/K84.txt:                           Revision to MPEC 2015-W74
bulletins2/18/K85.txt:                           Revision to MPEC 2014-F23
bulletins2/18/K98.txt:                          Revision to MPEC 2015-T112
bulletins2/18/K99.txt:                           Revision to MPEC 2016-Y88
bulletins2/18/L08.txt:                          Revision to MPEC 2016-C152
bulletins2/18/L18.txt:                           Revision to MPEC 2015-N27
bulletins2/18/L19.txt:                           Revision to MPEC 2017-N04
bulletins2/18/L34.txt:                           Revision to MPEC 2013-K05
bulletins2/18/L38.txt:                           Revision to MPEC 2009-Q63
bulletins2/18/L54.txt:                           Revision to MPEC 2005-M60
bulletins2/18/L65.txt:                           Revision to MPEC 2004-R74
bulletins2/18/L66.txt:                           Revision to MPEC 2005-K61
bulletins2/18/L72.txt:                           Revision to MPEC 2015-C27
bulletins2/18/L77.txt:                           Revision to MPEC 2005-P27
bulletins2/18/M03.txt:                           Revision to MPEC 1999-R30
bulletins2/18/M04.txt:                          Revision to MPEC 2014-U144
bulletins2/18/M38.txt:                           Revision to MPEC 2001-R45
bulletins2/18/M62.txt:                           Revision to MPEC 2007-L39
bulletins2/18/M82.txt:                           Revision to MPEC 2015-A12
bulletins2/18/M91.txt:                           Revision to MPEC 2017-W82
bulletins2/18/N25.txt:                           Revision to MPEC 2011-D44
bulletins2/18/N41.txt:                           Revision to MPEC 1998-Y39
bulletins2/18/N42.txt:                           Revision to MPEC 2014-M52
bulletins2/18/N45.txt:                           Revision to MPEC 2015-A03
bulletins2/18/N63.txt:                           Revision to MPEC 2016-B99
bulletins2/18/O07.txt:                           Revision to MPEC 2013-O17
bulletins2/18/O08.txt:                           Revision to MPEC 2003-G64
bulletins2/18/O33.txt:                           Revision to MPEC 2008-D35
bulletins2/18/O48.txt:                           Revision to MPEC 2017-O47
bulletins2/18/O50.txt:                           Revision to MPEC 2017-E87
bulletins2/18/O52.txt:                           Revision to MPEC 2017-Y18
bulletins2/18/P01.txt:                           Revision to MPEC 2013-B31
bulletins2/18/P04.txt:                          Revision to MPEC 2016-R121
bulletins2/18/P05.txt:                          Revision to MPEC 2017-Y132
bulletins2/18/P07.txt:                           Revision to MPEC 2015-N52
bulletins2/18/P11.txt:                          Revision to MPEC 2015-V144
bulletins2/18/P12.txt:                           Revision to MPEC 2017-Y10
bulletins2/18/P15.txt:                           Revision to MPEC 2017-V73
bulletins2/18/P16.txt:                           Revision to MPEC 2008-P32
bulletins2/18/P33.txt:                           Revision to MPEC 2007-D37
bulletins2/18/P34.txt:                           Revision to MPEC 2011-E69
bulletins2/18/P35.txt:                           Revision to MPEC 2016-U67
bulletins2/18/P53.txt:                           Revision to MPEC 2017-R08
bulletins2/18/P69.txt:                           Revision to MPEC 2017-M90
bulletins2/18/P70.txt:                           Revision to MPEC 2005-X01
bulletins2/18/P71.txt:                           Revision to MPEC 2017-D62
bulletins2/18/P72.txt:                           Revision to MPEC 2000-G24
bulletins2/18/P82.txt:                           Revision to MPEC 2017-K46
bulletins2/18/P96.txt:                           Revision to MPEC 2015-B75
bulletins2/18/P98.txt:                           Revision to MPEC 2007-P47
bulletins2/18/Q15.txt:                          Revision to MPEC 2017-Q154
bulletins2/18/Q16.txt:                           Revision to MPEC 2018-C88
bulletins2/18/Q41.txt:                          Revision to MPEC 2017-U283
bulletins2/18/Q42.txt:                           Revision to MPEC 2014-Q04
bulletins2/18/Q44.txt:                           Revision to MPEC 2015-Q42
bulletins2/18/Q69.txt:                           Revision to MPEC 2001-P39
bulletins2/18/Q73.txt:                           Revision to MPEC 2003-T75
bulletins2/18/Q98.txt:                          Revision to MPEC 2016-G134
bulletins2/18/Q99.txt:                           Revision to MPEC 2017-F07
bulletins2/18/R02.txt:                           Revision to MPEC 2017-N67
bulletins2/18/R03.txt:                           Revision to MPEC 2017-V47
bulletins2/18/R09.txt:                           Revision to MPEC 2014-T53
bulletins2/18/R10.txt:                           Revision to MPEC 2015-B97
bulletins2/18/R16.txt:                           Revision to MPEC 2007-R40
bulletins2/18/R18.txt:                           Revision to MPEC 2011-C76
bulletins2/18/R19.txt:                           Revision to MPEC 2014-C27
bulletins2/18/R20.txt:                           Revision to MPEC 2015-G10
bulletins2/18/R24.txt:                           Revision to MPEC 2005-F16
bulletins2/18/R25.txt:                          Revision to MPEC 2016-R101
bulletins2/18/R26.txt:                          Revision to MPEC 2017-S171
